Date,Last Price,Volume
12/31/24 15:15,53.74,45055
12/31/24 15:30,53.595,53321
12/31/24 15:45,53.38,174269
1/2/25 9:30,53.26,69762
1/2/25 9:45,53.86,58837
1/2/25 10:00,53.88,12591
1/2/25 10:15,53.9,12961
1/2/25 10:30,53.49,77811
1/2/25 10:45,53.76,63474
1/2/25 11:00,53.73,26303
1/2/25 11:15,53.925,14172
1/2/25 11:30,53.91,20765
1/2/25 11:45,53.7699,14717
1/2/25 12:00,53.78,13012
1/2/25 12:15,53.315,9667
1/2/25 12:30,52.9757,24109
1/2/25 12:45,52.915,45232
1/2/25 13:00,52.88,14131
1/2/25 13:15,53.08,15296
1/2/25 13:30,53.14,11883
1/2/25 13:45,53.13,11062
1/2/25 14:00,52.9085,15058
1/2/25 14:15,53.22,17549
1/2/25 14:30,52.87,36704
1/2/25 14:45,52.63,28957
1/2/25 15:00,52.85,22188
1/2/25 15:15,52.99,19377
1/2/25 15:30,53.015,30040
1/2/25 15:45,53.53,170563
1/3/25 9:30,53.77,38494
1/3/25 9:45,53.7699,18252
1/3/25 10:00,54.4,10785
1/3/25 10:15,54.265,11592
1/3/25 10:30,54.275,24107
1/3/25 10:45,54.141,11269
1/3/25 11:00,53.77,22026
1/3/25 11:15,53.88,8449
1/3/25 11:30,54.04,10672
1/3/25 11:45,54.52,22957
1/3/25 12:00,54.32,8300
1/3/25 12:15,54.28,14920
1/3/25 12:30,54.255,10269
1/3/25 12:45,54.135,19910
1/3/25 13:00,54.23,11579
1/3/25 13:15,54.36,5500
1/3/25 13:30,54.485,13383
1/3/25 13:45,54.42,12154
1/3/25 14:00,54.55,9323
1/3/25 14:15,54.5,3625
1/3/25 14:30,54.61,6580
1/3/25 14:45,54.63,7526
1/3/25 15:00,54.64,9397
1/3/25 15:15,54.75,16132
1/3/25 15:30,54.785,25742
1/3/25 15:45,55.175,147161
1/6/25 9:30,55.2062,96746
1/6/25 9:45,55.1789,18549
1/6/25 10:00,55.63,19306
1/6/25 10:15,55.545,21344
1/6/25 10:30,55.61,18114
1/6/25 10:45,55.71,16130
1/6/25 11:00,55.89,26890
1/6/25 11:15,55.61,15452
1/6/25 11:30,55.6,19250
1/6/25 11:45,55.71,8243
1/6/25 12:00,55.885,19824
1/6/25 12:15,55.75,14516
1/6/25 12:30,55.6694,9063
1/6/25 12:45,55.955,13968
1/6/25 13:00,55.82,13016
1/6/25 13:15,55.9,5789
1/6/25 13:30,55.675,16330
1/6/25 13:45,55.67,12785
1/6/25 14:00,55.58,25570
1/6/25 14:15,55.82,14439
1/6/25 14:30,55.65,11557
1/6/25 14:45,55.48,23165
1/6/25 15:00,55.5,12546
1/6/25 15:15,55.7,25611
1/6/25 15:30,55.75,32574
1/6/25 15:45,55.595,130949
1/7/25 9:30,56.625,41195
1/7/25 9:45,57.08,44996
1/7/25 10:00,56.21,105929
1/7/25 10:15,55.873,20978
1/7/25 10:30,55.595,33381
1/7/25 10:45,55.865,17280
1/7/25 11:00,55.37,25593
1/7/25 11:15,55.71,17735
1/7/25 11:30,55.735,39991
